Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
18-Jul-2026,18:30,18:42,Limehouse DLR to Canary Wharf DLR,2.20,,,
16-Jul-2026,17:10,17:34,Tottenham Court Road to Limehouse DLR,3.60,,,
16-Jul-2026,08:12,08:36,Limehouse DLR to Tottenham Court Road,3.60,,,
14-Jul-2026,20:32,20:56,Tottenham Court Road to Limehouse DLR,2.00,,,Fare capped after reaching the applicable daily or weekly charging limit
14-Jul-2026,17:21,18:06,Richmond [London Overground] to Tottenham Court Road,3.60,,,
14-Jul-2026,12:31,13:16,Oxford Circus to Richmond [London Overground],3.60,,,
14-Jul-2026,08:15,08:39,Limehouse DLR to Oxford Circus,3.60,,,
13-Jul-2026,20:41,21:05,Tottenham Court Road to Limehouse DLR,2.00,,,Fare capped after reaching the applicable daily or weekly charging limit
13-Jul-2026,17:29,18:14,Wembley Park to Tottenham Court Road,3.60,,,
13-Jul-2026,12:25,13:10,Oxford Circus to Wembley Park,3.60,,,
13-Jul-2026,08:18,08:42,Limehouse DLR to Oxford Circus,3.60,,,
12-Jul-2026,22:25,22:40,Canary Wharf DLR to Limehouse DLR,1.50,,,Fare capped after reaching the applicable daily or weekly charging limit
12-Jul-2026,21:10,21:25,Limehouse DLR to Canary Wharf DLR,2.20,,,
12-Jul-2026,20:07,20:31,Tottenham Court Road to Limehouse DLR,3.10,,,
12-Jul-2026,18:15,18:55,Woolwich Arsenal DLR to Tottenham Court Road,3.60,,,
12-Jul-2026,11:20,12:00,Limehouse DLR to Woolwich Arsenal DLR,2.40,,,
11-Jul-2026,22:25,22:40,Canary Wharf DLR to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
11-Jul-2026,21:10,21:25,Limehouse DLR to Canary Wharf DLR,1.20,,,Fare capped after reaching the applicable daily or weekly charging limit
11-Jul-2026,20:25,20:45,Shoreditch High Street [London Overground] to Limehouse DLR,3.10,,,
11-Jul-2026,18:07,18:52,Barking [London Overground] to Shoreditch High Street [London Overground],3.60,,,
11-Jul-2026,16:20,17:20,Enfield Town [London Overground] to Limehouse DLR,2.50,,,
11-Jul-2026,11:01,11:41,Limehouse DLR to Barking [London Overground],2.40,,,
11-Jul-2026,09:45,10:45,Limehouse DLR to Enfield Town [London Overground],2.50,,,
10-Jul-2026,20:30,20:54,Tottenham Court Road to Limehouse DLR,2.00,,,Fare capped after reaching the applicable daily or weekly charging limit
10-Jul-2026,17:30,18:15,Richmond [London Overground] to Tottenham Court Road,3.60,,,
10-Jul-2026,12:28,13:13,Oxford Circus to Richmond [London Overground],3.60,,,
10-Jul-2026,08:12,08:36,Limehouse DLR to Oxford Circus,3.60,,,
09-Jul-2026,20:44,21:08,Tottenham Court Road to Limehouse DLR,2.00,,,Fare capped after reaching the applicable daily or weekly charging limit
09-Jul-2026,17:10,17:55,Wembley Park to Tottenham Court Road,3.60,,,
09-Jul-2026,12:20,13:05,Oxford Circus to Wembley Park,3.60,,,
09-Jul-2026,08:07,08:31,Limehouse DLR to Oxford Circus,3.60,,,
08-Jul-2026,20:48,21:12,Tottenham Court Road to Limehouse DLR,2.00,,,Fare capped after reaching the applicable daily or weekly charging limit
08-Jul-2026,17:21,18:06,Woolwich Arsenal DLR to Tottenham Court Road,3.60,,,
08-Jul-2026,12:23,13:08,Oxford Circus to Woolwich Arsenal DLR,3.60,,,
08-Jul-2026,08:08,08:32,Limehouse DLR to Oxford Circus,3.60,,,
05-Jul-2026,20:30,20:54,Tottenham Court Road to Limehouse DLR,3.10,,,
05-Jul-2026,18:15,18:55,Greenwich DLR to Tottenham Court Road,3.10,,,
05-Jul-2026,11:24,12:04,Limehouse DLR to Greenwich DLR,2.20,,,
03-Jul-2026,17:44,18:08,Oxford Circus to Limehouse DLR,3.60,,,
03-Jul-2026,08:00,08:24,Limehouse DLR to Oxford Circus,3.60,,,
01-Jul-2026,21:15,21:27,Canary Wharf DLR to Limehouse DLR,2.20,,,
01-Jul-2026,18:30,18:42,Limehouse DLR to Canary Wharf DLR,2.30,,,
28-Jun-2026,20:11,20:31,Shoreditch High Street [London Overground] to Limehouse DLR,3.10,,,
28-Jun-2026,18:19,19:04,West Croydon [London Overground] to Shoreditch High Street [London Overground],3.80,,,
28-Jun-2026,11:01,11:41,Limehouse DLR to West Croydon [London Overground],2.50,,,
26-Jun-2026,17:37,18:01,Tottenham Court Road to Limehouse DLR,3.60,,,
26-Jun-2026,08:08,08:32,Limehouse DLR to Tottenham Court Road,3.60,,,
24-Jun-2026,17:42,18:02,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
24-Jun-2026,12:38,12:48,Oxford Circus to Bank,3.00,,,
24-Jun-2026,08:03,08:27,Limehouse DLR to Oxford Circus,3.60,,,
23-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
23-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
23-Jun-2026,17:12,17:32,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
23-Jun-2026,12:35,12:45,Oxford Circus to Bank,3.00,,,
23-Jun-2026,08:15,08:39,Limehouse DLR to Oxford Circus,3.60,,,
22-Jun-2026,17:18,17:38,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
22-Jun-2026,12:41,12:51,Oxford Circus to Bank,3.00,,,
22-Jun-2026,08:04,08:28,Limehouse DLR to Oxford Circus,3.60,,,
20-Jun-2026,18:45,19:15,Brixton to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
20-Jun-2026,14:20,14:35,Bank to Brixton,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
20-Jun-2026,11:10,11:30,Limehouse DLR to Bank,0.20,,,Fare capped after reaching the applicable daily or weekly charging limit
19-Jun-2026,17:14,17:34,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
19-Jun-2026,12:27,12:37,Oxford Circus to Bank,3.00,,,
19-Jun-2026,08:04,08:28,Limehouse DLR to Oxford Circus,3.60,,,
18-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
18-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
18-Jun-2026,17:25,17:45,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
18-Jun-2026,12:44,12:54,Oxford Circus to Bank,3.00,,,
18-Jun-2026,08:20,08:44,Limehouse DLR to Oxford Circus,3.60,,,
17-Jun-2026,17:28,17:48,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
17-Jun-2026,12:05,12:15,Tottenham Court Road to Bank,3.00,,,
17-Jun-2026,08:04,08:28,Limehouse DLR to Tottenham Court Road,3.60,,,
16-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
16-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
16-Jun-2026,17:13,17:33,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
16-Jun-2026,12:41,12:51,Tottenham Court Road to Bank,3.00,,,
16-Jun-2026,08:12,08:36,Limehouse DLR to Tottenham Court Road,3.60,,,
15-Jun-2026,17:20,17:40,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
15-Jun-2026,12:28,12:38,Oxford Circus to Bank,3.00,,,
15-Jun-2026,08:03,08:27,Limehouse DLR to Oxford Circus,3.60,,,
14-Jun-2026,20:11,20:35,Tottenham Court Road to Limehouse DLR,3.10,,,
14-Jun-2026,18:23,19:03,Woolwich Arsenal DLR to Tottenham Court Road,3.60,,,
14-Jun-2026,11:03,11:43,Limehouse DLR to Woolwich Arsenal DLR,2.40,,,
12-Jun-2026,17:13,17:33,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
12-Jun-2026,12:13,12:23,Oxford Circus to Bank,3.00,,,
12-Jun-2026,08:16,08:40,Limehouse DLR to Oxford Circus,3.60,,,
11-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
11-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
11-Jun-2026,17:36,17:56,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
11-Jun-2026,12:41,12:51,Oxford Circus to Bank,3.00,,,
11-Jun-2026,08:12,08:36,Limehouse DLR to Oxford Circus,3.60,,,
10-Jun-2026,17:17,17:37,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
10-Jun-2026,12:41,12:51,Tottenham Court Road to Bank,3.00,,,
10-Jun-2026,08:19,08:43,Limehouse DLR to Tottenham Court Road,3.60,,,
09-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
09-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
09-Jun-2026,17:06,17:26,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
09-Jun-2026,12:15,12:25,Oxford Circus to Bank,3.00,,,
09-Jun-2026,08:05,08:29,Limehouse DLR to Oxford Circus,3.60,,,
08-Jun-2026,17:45,18:05,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
08-Jun-2026,12:11,12:21,Oxford Circus to Bank,3.00,,,
08-Jun-2026,08:08,08:32,Limehouse DLR to Oxford Circus,3.60,,,
06-Jun-2026,18:45,19:15,Brixton to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
06-Jun-2026,14:20,14:35,Bank to Brixton,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
06-Jun-2026,11:10,11:30,Limehouse DLR to Bank,0.20,,,Fare capped after reaching the applicable daily or weekly charging limit
05-Jun-2026,17:20,17:40,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
05-Jun-2026,12:08,12:18,Tottenham Court Road to Bank,3.00,,,
05-Jun-2026,08:19,08:43,Limehouse DLR to Tottenham Court Road,3.60,,,
04-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
04-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
04-Jun-2026,17:33,17:53,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
04-Jun-2026,12:29,12:39,Tottenham Court Road to Bank,3.00,,,
04-Jun-2026,08:09,08:33,Limehouse DLR to Tottenham Court Road,3.60,,,
03-Jun-2026,17:16,17:36,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
03-Jun-2026,12:15,12:25,Oxford Circus to Bank,3.00,,,
03-Jun-2026,08:15,08:39,Limehouse DLR to Oxford Circus,3.60,,,
02-Jun-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
02-Jun-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
02-Jun-2026,17:39,17:59,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
02-Jun-2026,12:17,12:27,Tottenham Court Road to Bank,3.00,,,
02-Jun-2026,08:10,08:34,Limehouse DLR to Tottenham Court Road,3.60,,,
01-Jun-2026,17:09,17:29,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
01-Jun-2026,12:31,12:41,Oxford Circus to Bank,3.00,,,
01-Jun-2026,08:20,08:44,Limehouse DLR to Oxford Circus,3.60,,,
30-May-2026,18:45,19:15,Brixton to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
30-May-2026,14:20,14:35,Bank to Brixton,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
30-May-2026,11:10,11:30,Limehouse DLR to Bank,0.20,,,Fare capped after reaching the applicable daily or weekly charging limit
29-May-2026,17:34,17:54,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
29-May-2026,12:24,12:34,Tottenham Court Road to Bank,3.00,,,
29-May-2026,08:12,08:36,Limehouse DLR to Tottenham Court Road,3.60,,,
28-May-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
28-May-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
28-May-2026,17:40,18:00,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
28-May-2026,12:09,12:19,Oxford Circus to Bank,3.00,,,
28-May-2026,08:08,08:32,Limehouse DLR to Oxford Circus,3.60,,,
27-May-2026,17:11,17:31,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
27-May-2026,12:08,12:18,Tottenham Court Road to Bank,3.00,,,
27-May-2026,08:17,08:41,Limehouse DLR to Tottenham Court Road,3.60,,,
26-May-2026,22:10,22:28,Canada Water to Limehouse DLR,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
26-May-2026,20:05,20:23,Limehouse DLR to Canada Water,0.00,,,Fare capped after reaching the applicable daily or weekly charging limit
26-May-2026,17:12,17:32,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
26-May-2026,12:13,12:23,Oxford Circus to Bank,3.00,,,
26-May-2026,08:01,08:25,Limehouse DLR to Oxford Circus,3.60,,,
25-May-2026,17:36,17:56,Bank DLR to Limehouse DLR,2.30,,,Fare capped after reaching the applicable daily or weekly charging limit
25-May-2026,12:05,12:15,Oxford Circus to Bank,3.00,,,
25-May-2026,08:01,08:25,Limehouse DLR to Oxford Circus,3.60,,,
24-May-2026,19:40,20:00,Surrey Quays [London Overground] to Limehouse DLR,2.20,,,
24-May-2026,17:20,17:28,Canada Water to Surrey Quays [London Overground],2.20,,,
24-May-2026,14:05,14:20,Limehouse DLR to Canada Water,2.20,,,
23-May-2026,20:18,20:38,Shoreditch High Street [London Overground] to Limehouse DLR,3.10,,,
23-May-2026,18:24,19:09,Richmond [London Overground] to Shoreditch High Street [London Overground],3.60,,,
23-May-2026,11:00,11:40,Limehouse DLR to Richmond [London Overground],2.40,,,
19-May-2026,17:33,17:57,Tottenham Court Road to Limehouse DLR,3.60,,,
19-May-2026,08:19,08:43,Limehouse DLR to Tottenham Court Road,3.60,,,
16-May-2026,20:09,20:33,Tottenham Court Road to Limehouse DLR,3.10,,,
16-May-2026,18:15,18:55,Epping to Tottenham Court Road,4.00,,,
16-May-2026,11:13,11:53,Limehouse DLR to Epping,2.60,,,
14-May-2026,21:15,21:27,Canary Wharf DLR to Limehouse DLR,2.20,,,
14-May-2026,18:30,18:42,Limehouse DLR to Canary Wharf DLR,2.30,,,
12-May-2026,17:19,17:43,Oxford Circus to Limehouse DLR,3.60,,,
12-May-2026,08:17,08:41,Limehouse DLR to Oxford Circus,3.60,,,
10-May-2026,21:15,21:27,Canary Wharf DLR to Limehouse DLR,2.20,,,
10-May-2026,18:30,18:42,Limehouse DLR to Canary Wharf DLR,2.20,,,
